monster,family,element,acquired,build,date,id
Yeti,Yeti,Wind,Unknown Scroll,no,2020-06-07,914
Maned Boar,Maned Boar,Wind,Unknown Scroll,no,2020-06-07,915
Mushroom,Mushroom,Water,Unknown Scroll,no,2020-06-07,916
Ghost,Ghost,Water,Unknown Scroll,no,2020-06-07,917
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-06-07,918
Mimick,Mimick,Fire,Unknown Scroll,no,2020-06-07,919
Sandman,Sandman,Fire,Unknown Scroll,no,2020-06-07,920
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-06-07,921
Ghost,Ghost,Wind,Unknown Scroll,no,2020-06-07,922
Mimick,Mimick,Wind,Unknown Scroll,no,2020-06-07,923
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-07,924
Rainbowmon,Rainbowmon,Light,Dragon's Lair B3,no,2020-06-07,925
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-07,926
Forest Keeper,Forest Keeper,Fire,Magic Shop,no,2020-06-07,927
Forest Keeper,Forest Keeper,Fire,Magic Shop,no,2020-06-07,928
Charger Shark,Charger Shark,Water,Water Scroll,yes,2020-06-07,929
Lizardman,Lizardman,Fire,Fire Scroll,no,2020-06-07,930
Living Armor,Living Armor,Wind,Wind Scroll,no,2020-06-07,931
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-06-07,932
Imp,Imp,Water,Unknown Scroll,no,2020-06-07,933
Maned Boar,Maned Boar,Water,Unknown Scroll,no,2020-06-07,934
Slime,Slime,Water,Unknown Scroll,no,2020-06-07,935
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-06-07,936
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-06-07,937
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-06-07,938
Sandman,Sandman,Fire,Unknown Scroll,no,2020-06-07,939
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-06-07,940
Sandman,Sandman,Wind,Unknown Scroll,no,2020-06-07,941
Forest Keeper,Forest Keeper,Wind,Unknown Scroll,no,2020-06-07,942
Pixie,Pixie,Water,Unknown Scroll,no,2020-06-07,943
Howl,Howl,Water,Unknown Scroll,no,2020-06-07,944
Battle Scorpion,Battle Scorpion,Water,Unknown Scroll,no,2020-06-07,945
Mushroom,Mushroom,Water,Unknown Scroll,no,2020-06-07,946
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-06-07,947
Mimick,Mimick,Wind,Unknown Scroll,no,2020-06-07,948
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-06-07,949
Sandman,Sandman,Wind,Unknown Scroll,no,2020-06-07,950
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-06-07,951
Mimick,Mimick,Wind,Unknown Scroll,no,2020-06-07,952
Surprise Box,Surprise Box,Wind,Unknown Scroll,no,2020-06-07,953
Harpu,Harpu,Wind,Unknown Scroll,no,2020-06-07,954
Monster Flower,Monster Flower,Wind,Unknown Scroll,no,2020-06-07,955
Harpu,Harpu,Wind,Unknown Scroll,no,2020-06-07,956
Sandman,Sandman,Water,Unknown Scroll,no,2020-06-07,957
Mimick,Mimick,Fire,Unknown Scroll,no,2020-06-07,958
Forest Keeper,Forest Keeper,Fire,Unknown Scroll,no,2020-06-07,959
Sandman,Sandman,Fire,Unknown Scroll,no,2020-06-07,960
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-06-07,961
Ghost,Ghost,Wind,Unknown Scroll,no,2020-06-07,962
Battle Scorpion,Battle Scorpion,Water,Magic Shop,no,2020-06-07,963
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-06-07,964
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-06-07,965
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-07,966
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-07,967
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-07,968
Golem,Golem,Fire,Mt. Siz (Hell),no,2020-06-07,969
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-07,970
Forest Keeper,Forest Keeper,Water,Magic Shop,no,2020-06-07,971
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-07,972
Golem,Golem,Fire,Mt. Siz (Hell),no,2020-06-07,973
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-07,974
Rainbowmon,Rainbowmon,Light,New User Exclusive Gift (Day 22),no,2020-06-08,975
Forest Keeper,Forest Keeper,Wind,Magic Shop,no,2020-06-08,976
Devilmon,Devilmon,Dark,Glory Shop,no,2020-06-08,977
Rainbowmon,Rainbowmon,Light,Guild Shop,no,2020-06-08,978
Harpu,Harpu,Wind,Social Summon,no,2020-06-08,979
Elemental,Elemental,Wind,Social Summon,no,2020-06-08,980
Yeti,Yeti,Wind,Social Summon,no,2020-06-08,981
Forest Keeper,Forest Keeper,Water,Social Summon,no,2020-06-08,982
Forest Keeper,Forest Keeper,Fire,Social Summon,no,2020-06-08,983
Sandman,Sandman,Fire,Social Summon,no,2020-06-08,984
Horned Frog,Horned Frog,Fire,Social Summon,no,2020-06-08,985
Slime,Slime,Wind,Social Summon,no,2020-06-08,986
Ghost,Ghost,Wind,Social Summon,no,2020-06-08,987
Mushroom,Mushroom,Wind,Social Summon,no,2020-06-08,988
Rainbowmon,Rainbowmon,Light,Giant's Keep B4,no,2020-06-08,989
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-08,990
