monster,family,element,acquired,build,date,id
Super Angelmon,Angelmon,Light,New User Exclusive Gift (Day 28),no,2020-06-14,1216
Viking,Viking,Water,Social Summon,no,2020-06-14,1217
Monster Flower,Monster Flower,Water,Social Summon,no,2020-06-14,1218
Monster Flower,Monster Flower,Fire,Social Summon,no,2020-06-14,1219
Mushroom,Mushroom,Water,Social Summon,no,2020-06-14,1220
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-14,1221
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-14,1222
Mushroom,Mushroom,Water,Social Summon,no,2020-06-14,1223
Slime,Slime,Water,Social Summon,no,2020-06-14,1224
Forest Keeper,Forest Keeper,Water,Social Summon,no,2020-06-14,1225
Mushroom,Mushroom,Wind,Social Summon,no,2020-06-14,1226
Rainbowmon,Rainbowmon,Light,Giant's Keep B4,no,2020-06-14,1227
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1228
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-14,1229
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-14,1230
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-06-14,1231
Maned Boar,Maned Boar,Fire,Magic Shop,no,2020-06-14,1232
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-06-14,1233
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-14,1234
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1235
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1236
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-06-14,1237
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1238
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1239
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-14,1240
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-06-14,1241
Battle Scorpion,Battle Scorpion,Wind,Magic Shop,no,2020-06-14,1242
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-14,1243
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-14,1244
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-06-14,1245
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-14,1246
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-14,1247
Battle Scorpion,Battle Scorpion,Wind,Magic Shop,no,2020-06-15,1248
Salamander,Salamander,Water,Social Summon,yes,2020-06-15,1249
Mischievous Bat,Mischievous Bat,Water,Social Summon,no,2020-06-15,1250
Viking,Viking,Water,Social Summon,no,2020-06-15,1251
Skull Soldier,Skull Soldier,Fire,Social Summon,no,2020-06-15,1252
Surprise Box,Surprise Box,Fire,Social Summon,no,2020-06-15,1253
Pixie,Pixie,Fire,Social Summon,yes,2020-06-15,1254
