monster,family,element,acquired,build,date,id
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-31,616
Mushroom,Mushroom,Fire,Social Summon,no,2020-05-31,617
Yeti,Yeti,Wind,Social Summon,no,2020-05-31,618
Mushroom,Mushroom,Water,Social Summon,no,2020-05-31,619
Battle Scorpion,Battle Scorpion,Wind,Magic Shop,no,2020-05-31,620
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-05-31,621
Golem,Golem,Fire,Mt. Siz (Hard),no,2020-05-31,622
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-05-31,623
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-31,624
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-05-31,625
Ghost,Ghost,Water,Unknown Scroll,no,2020-05-31,626
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-31,627
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-05-31,628
Howl,Howl,Water,Unknown Scroll,no,2020-05-31,629
Mimick,Mimick,Wind,Unknown Scroll,no,2020-05-31,630
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-31,631
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-05-31,632
Forest Keeper,Forest Keeper,Water,Unknown Scroll,no,2020-05-31,633
Low Elemental,Low Elemental,Water,Unknown Scroll,no,2020-05-31,634
Monster Flower,Mosnter Flower,Water,Unknown Scroll,no,2020-05-31,635
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-05-31,636
Mushroom,Mushroom,Water,Unknown Scroll,no,2020-05-31,637
Low Elemental,Low Elemental,Water,Unknown Scroll,no,2020-05-31,638
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-31,639
Mimick,Mimick,Fire,Unknown Scroll,no,2020-05-31,640
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-05-31,641
Forest Keeper,Forest Keeper,Fire,Unknown Scroll,no,2020-05-31,642
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-31,643
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-31,644
Low Elemental,Low Elemental,Water,Unknown Scroll,no,2020-05-31,645
Forest Keeper,Forest Keeper,Water,Unknown Scroll,no,2020-05-31,646
Forest Keeper,Forest Keeper,Fire,Unknown Scroll,no,2020-05-31,647
Slime,Slime,Fire,Unknown Scroll,no,2020-05-31,648
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-31,649
Mimick,Mimick,Fire,Unknown Scroll,no,2020-05-31,650
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-31,651
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-31,652
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-05-31,653
Ghost,Ghost,Wind,Unknown Scroll,no,2020-05-31,654
Surprise Box,Surprise Box,Fire,Unknown Scroll,no,2020-05-31,655
Harpu,Harpu,Fire,Unknown Scroll,no,2020-05-31,656
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-31,657
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-31,658
Slime,Slime,Fire,Unknown Scroll,no,2020-05-31,659
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-31,660
Mimick,Mimick,Fire,Unknown Scroll,no,2020-05-31,661
Forest Keeper,Forest Keeper,Wind,Unknown Scroll,no,2020-05-31,662
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-31,663
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-31,664
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-31,665
Sandman,Sandman,Fire,Unknown Scroll,no,2020-05-31,666
Mimick,Mimick,Wind,Mt. Siz (Hard),no,2020-05-31,667
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-05-31,668
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-05-31,669
Golem,Golem,Fire,Mt. Siz (Hard),no,2020-05-31,670
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-05-31,671
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-31,672
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-01,673
Rainbowmon,Rainbowmon,Light,Giant's Keep B3,no,2020-06-01,674
Rainbowmon,Rainbowmon,Light,Guild Shop,no,2020-06-01,675
Devilmon,Devilmon,Dark,Glory Shop,no,2020-06-01,676
Gold Angelmon,Angelmon,Wind,6-star Evolution Reward (first Wind Monster - Wind Slime - Day 1),no,2020-06-01,677
Gold Angelmon,Angelmon,Wind,6-star Evolution Reward (first Wind Monster - Wind Slime - Day 1),no,2020-06-01,678
Gold Angelmon,Angelmon,Wind,6-star Evolution Reward (first Wind Monster - Wind Slime - Day 1),no,2020-06-01,679
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-01,680
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-01,681
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-06-01,682
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-01,683
Slime,Slime,Fire,Magic Shop,no,2020-06-01,684
Mimick,Mimick,Fire,Unknown Scroll,no,2020-06-01,685
Mimick,Mimick,Water,Unknown Scroll,no,2020-06-01,686
Elemental,Elemental,Water,Unknown Scroll,no,2020-06-01,687
Rainbowmon,Raibowmon,Light,Level Up Reward (level 30),no,2020-06-01,688
Rainbowmon,Raibowmon,Light,Level Up Reward (level 30),no,2020-06-01,689
Rainbowmon,Raibowmon,Light,Level Up Reward (level 30),no,2020-06-01,690
Rainbowmon,Raibowmon,Light,Level Up Reward (level 30),no,2020-06-01,691
Golem,Golem,Fire,Mt. Siz (Hard),no,2020-06-01,692
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-01,693
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-01,694
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hard),no,2020-06-01,695
Rainbowmon,Rainbowmon,Light,Dragon's Lair B3,no,2020-06-01,696
Golem,Golem,Fire,Mt. Siz (Hell),no,2020-06-01,697
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-01,698
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-01,699
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-01,700
Battle Scorpion,Battle Scorpion,Water,Magic Shop,no,2020-06-01,701
Dark Angelmon,Angelmon,Dark,Awakened (ID 386),no,2020-06-02,702
Red Angelmon,Angelmon,Fire,Awakened (ID 442),no,2020-06-02,703
Inferno,Inferno,Wind,Challenge Reward (Fuse Monsters - Awaken a Fire Monster),yes,2020-06-02,704
Rainbowmon,Rainbowmon,Light,New User Exclusive Gift (Day 16),no,2020-06-02,705
Rainbowmon,Rainbowmon,Light,6-star Evolution Reward (first Wind Monster - Wind Slime - Day 2),no,2020-06-02,706
Mushroom,Mushroom,Wind,Social Summon,no,2020-06-02,707
Surprise Box,Surprise Box,Water,Social Summon,no,2020-06-02,708
Slime,Slime,Fire,Social Summon,no,2020-06-02,709
Mimick,Mimick,Wind,Mt. Siz (Hard),no,2020-06-02,710
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-02,711
Slime,Slime,Fire,Magic Shop,no,2020-06-02,712
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-06-02,713
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-02,714
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-06-02,715
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-06-02,716
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-06-02,717
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-06-02,718
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-02,719
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-02,720
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-06-02,721
Mimick,Mimick,Wind,Mt. Siz (Hard),no,2020-06-02,722
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-06-02,723
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-06-02,724
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-06-02,725
String Master,String Master,Water,Event Reward (String Master Scroll - New Default 4-star Monster Giveaway and Skill Level-up Event),yes,2020-06-02,726
Mimick,Mimick,Wind,Mt. Siz (Hard),no,2020-06-02,727
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-06-02,728
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-03,729
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-03,730
Garuda,Garuda,Water,Social Summon,no,2020-06-03,731
Mushroom,Mushroom,Water,Social Summon,no,2020-06-03,732
Slime,Slime,Water,Social Summon,no,2020-06-03,733
Sandman,Sandman,Water,Social Summon,no,2020-06-03,734
Ghost,Ghost,Water,Social Summon,no,2020-06-03,735
Horned Frog,Horned Frog,Fire,Social Summon,no,2020-06-03,736
Ghost,Ghost,Fire,Social Summon,no,2020-06-03,737
Slime,Slime,Fire,Social Summon,no,2020-06-03,738
Sandman,Sandman,Wind,Social Summon,no,2020-06-03,739
Mimick,Mimick,Wind,Social Summon,no,2020-06-03,740
Slime,Slime,Fire,Mt. Siz (Hard),no,2020-06-03,741
Golem,Golem,Fire,Mt. Siz (Hard),no,2020-06-03,742
Ghost,Ghost,Water,Mt. Siz (Hard),no,2020-06-03,743
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-03,744
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-03,745
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-03,746
Golem,Golem,Fire,Mt. Siz (Hell),no,2020-06-03,747
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-03,748
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-03,749
Garuda,Garuda,Fire,Social Summon,no,2020-06-03,750
Surprise Box,Surprise Box,Wind,Social Summon,no,2020-06-03,751
Yeti,Yeti,Wind,Social Summon,no,2020-06-03,752
Mischievous Bat,Mischievous Bat,Wind,Social Summon,no,2020-06-03,753
Forest Keeper,Forest Keeper,Water,Social Summon,no,2020-06-03,754
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-03,755
Mimick,Mimick,Fire,Social Summon,no,2020-06-03,756
Slime,Slime,Fire,Social Summon,no,2020-06-03,757
Mimick,Mimick,Fire,Social Summon,no,2020-06-03,758
Low Elemental,Low Elemental,Wind,Social Summon,no,2020-06-03,759
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-06-03,760
Drunken Master,Drunken Master,Water,Water Scroll,yes,2020-06-03,761
Werewolf,Werewolf,Water,Water Scroll,yes,2020-06-03,762
Grim Reaper,Grim Reaper,Fire,Fire Scroll,yes,2020-06-03,763
High Elemental,High Elemental,Fire,Fire Scroll,yes,2020-06-03,764
Elven Ranger,Elven Ranger,Wind,Wind Scroll,yes,2020-06-03,765
Grim Reaper,Grim Reaper,Wind,Wind Scroll,yes,2020-06-03,766
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-03,767
Rainbowmon,Rainbowmon,Light,6-star Evolution Reward (first Wind Monster - Wind Slime - Day 4),no,2020-06-04,768
Bounty Hunter,Bounty Hunter,Water,Water Scroll,no,2020-06-04,769
Bearman,Bearman,Fire,Fire Scroll,yes,2020-06-04,770
Charger Shark,Charger Shark,Wind,Wind Scroll,yes,2020-06-04,771
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-04,772
Rainbowmon,Rainbowmon,Light,Mt. Siz (Hell),no,2020-06-04,773
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-04,774
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-04,775
Golem,Golem,Fire,Mt. Siz (Hell),no,2020-06-04,776
